"PROBEID","ENTREZID","SYMBOL","GSM894405_HD1.CEL","GSM894406_HD2.CEL","GSM894407_HD3.CEL","GSM894408_MM1.CEL","GSM894409_MM2.CEL","GSM894410_MM3.CEL","GSM894411_MM4.CEL"
"213970_at","285282","RABL3","5.56301550283421","5.76836654537243","5.62980548704","5.40888670003632","6.07571494491142","5.70315855796273","5.92423135406761"
"213975_s_at","4069","LYZ","2.65812236826391","2.53851850264922","4.85680999094558","2.44344367647783","2.50839507689414","2.7855106415536","4.15786110666733"
"213982_s_at","9910","RABGAP1L","6.46723819168313","6.41442245388267","6.31493432596981","6.57990695342259","6.64289744969683","6.83305524239593","6.91427523518096"
"213984_at","23244","PDS5A","4.35541142973508","4.72419800197004","4.26661518976005","4.12975325573891","4.34397364854176","4.34397364854176","4.04329104339357"
"213986_s_at","91304","TMEM259","5.21206647790048","4.64498496204486","5.87958503243905","5.84649050189251","5.17621003881788","5.21206647790048","5.2155296785255"
"213989_x_at","54093","SETD4","5.61254722715953","5.66869766667923","5.66869766667923","5.4172319162509","5.66869766667923","5.84450089150007","5.85634729271146"
"213990_s_at","57144","PAK5","4.02591093656811","4.01486858744839","4.02591093656811","4.02591093656811","3.73683083267292","4.02591093656811","4.06193280648074"
"213996_at","29799","YPEL1","4.62208440524912","4.23446494914245","4.24109780136705","4.33089132754312","3.80704690291496","4.07289733576333","4.23446494914245"
"213997_at","23359","FAM189A1","2.89521575068052","2.78404553694479","2.78404553694479","3.11544535990717","2.71818646613463","2.76267706893932","2.69434282731549"
"214001_x_at","6204","RPS10","6.19805608876443","6.42884763156018","6.06363611364436","6.18726025077829","6.19805608876443","6.09599555484576","6.42284004410911"
"214002_at","4637","MYL6","5.43597428318677","5.60559204966741","5.61559200413284","5.5928168614208","5.66869766667923","5.76698244498995","5.61559200413284"
"214009_at","10943","MSL3","4.16071088962358","4.03349302127545","3.92659199998332","3.82588457180022","3.64210312649348","3.65870928145491","4.27029826547341"
"214012_at","51752","ERAP1","2.64316464082338","2.77516913930481","3.0058158893404","2.74630291379378","5.19147045055281","3.17057973569821","4.73011191081948"
"214014_at","10435","CDC42EP2","5.1215439730102","5.93594834223481","5.93594834223481","6.15583241305699","5.97238375011723","6.01063004805635","5.63176447090245"
"214017_s_at","9704","DHX34","5.63628680481032","5.3294860306908","5.82297325324184","5.92242542047854","5.60660641963723","5.60660641963723","5.29123973275168"
"214018_at","23426","GRIP1","2.50954864689053","2.50954864689053","2.28794175350021","2.50954864689053","2.50954864689053","2.43169406497837","2.97282900303134"
"214022_s_at","8519","IFITM1","7.90929786327067","7.69628000714302","8.84686879398781","11.2657532148021","8.85461895697531","10.4994956370934","9.18886812171618"
"214023_x_at","347733","TUBB2B","5.21347309853268","3.23730737746356","4.78816953246394","5.35003806701743","3.20334442546839","4.10788615716724","4.4810716666921"
"214024_s_at","85359","DGCR6L","3.2642135671662","3.55663149097264","3.4855226906577","3.30008309946015","3.48440794489386","3.24388955242477","3.51110835401604"
"214030_at","131544","CRYBG3","6.75098125780219","6.64558694326561","6.58741874984141","6.42571358222689","6.70223908521723","6.64558694326561","6.87050340587312"
"214038_at","6355","CCL8","2.5811315667639","2.31123956827176","2.46356630954801","2.46356630954801","2.34996303610545","2.75864610524024","3.07774359115568"
"214042_s_at","6146","RPL22","9.35028041925552","9.16171821261468","9.35028041925552","9.23550281165582","9.55797514816429","9.49986829999728","9.41182401437069"
"214043_at","5789","PTPRD","3.40041904087211","3.0411733987156","2.98380076851635","2.92228431319799","3.44666057988448","3.03917175535318","4.3155184478075"
"214045_at","11019","LIAS","5.74814878848565","6.06039029088544","5.89738082296471","5.42184902159313","5.16437453410469","5.68913827995665","5.35603162435146"
"214049_x_at","924","CD7","4.70961438888119","4.42134823581377","4.408931783733","4.408931783733","4.46208954294286","4.408931783733","4.24134354318909"
"214054_at","9046","DOK2","3.94593294791883","3.84946091290208","3.81356749596354","3.89892217000684","3.72222328728007","3.83285792530938","3.81380460078716"
"214055_x_at","23215","PRRC2C","7.62394651093528","7.40454316225226","7.29777719830338","7.49224380234867","7.77363176111588","7.71824294707632","7.56887208658129"
"214056_at","4170","MCL1","4.61931924153779","4.37261167888966","4.880696340652","4.4810716666921","4.30021929991822","4.53378789374448","3.86872602537213"
"214060_at","6742","SSBP1","4.68097551130876","4.20491247633009","4.47288803499734","4.26640232849524","4.21381240980247","4.26640232849524","3.82943944523814"
"214068_at","146227","BEAN1","2.62948186679458","3.09222458520885","2.43933270786492","2.61973058424033","2.84580393999992","2.43933270786492","2.13517304976597"
"214073_at","2017","CTTN","5.02526879063577","5.47621774070771","4.84598642504906","5.52838830520709","6.05707495637503","5.56019028346069","5.52838830520709"
"214075_at","29937","NENF","6.46791917920458","6.39649055346864","6.69340055899947","6.51460610552126","6.94264642675339","6.82816845870761","6.67466142348186"
"214076_at","81577","GFOD2","5.67855917385681","5.61234768533639","5.67855917385681","5.63357912993058","5.84397930491199","5.53942286910801","5.87462995823049"
"214077_x_at","4213","MEIS3P1","7.0171713874384","7.20593116773976","7.43212028734556","7.67560893971641","7.53659779775864","7.71824294707632","8.11346413671179"
"214079_at","10202","DHRS2","2.43169406497837","3.72705053084405","3.51354872212578","2.11892617399407","2.24891937453301","2.38901305002905","2.43169406497837"
"214081_at","57125","PLXDC1","3.21929377466695","3.17918361674229","3.25208489454358","3.17918361674229","3.07785485675252","3.17918361674229","3.35090660445241"
"214086_s_at","10038","PARP2","6.68465592888407","6.65127926938616","7.32390830836609","6.05453521283567","6.39251058932064","5.82547492682138","6.26163486655074"
"214087_s_at","4604","MYBPC1","2.69656507139503","2.71235332270569","2.6410114608296","2.6410114608296","2.58764484520099","2.6410114608296","2.6410114608296"
"214089_at","6202","RPS8","3.65757391770279","3.36518064414375","3.40086946668697","3.46912610564996","3.69080534111259","3.33965694390862","3.05109242562056"
"214097_at","6227","RPS21","7.20478825272798","6.55695208916568","6.90358705364062","6.22509954380995","7.52062756121193","6.90358705364062","6.6978968460817"
"214100_x_at","155400","NSUN5P1","6.6335085141231","6.41412581866951","6.74161863334517","6.6561765878861","6.78775406130309","6.54370363160847","6.83643563489257"
"214101_s_at","9520","NPEPPS","5.89023835769183","6.29088442617962","6.37305236828403","6.38073570897786","6.84043470452671","6.89430541816864","6.47385802828226"
"214108_at","4149","MAX","4.26841698753148","3.90898555047814","3.90536639446536","3.96994229761633","4.29632243562973","3.96994229761633","3.75003296472683"
"214109_at","987","LRBA","5.31202147160247","6.02550356403185","5.56888717610572","5.51141373638239","5.94481417481116","6.41442245388267","4.97857382131024"
"214111_at","4978","OPCML","3.70473966063901","5.6497223467566","2.93002413338946","3.56909898567471","5.35344897818135","3.70473966063901","3.46610316562611"
"214120_at","10740","RFPL1S","2.48974749311532","2.27672997597451","2.51684446407846","2.27840287865899","2.3335385018562","2.3335385018562","2.3335385018562"
"214123_s_at","317648","NOP14-AS1","3.17918361674229","3.12429774535426","3.52140772616583","3.17836510355415","3.4681502252478","3.17918361674229","3.06269373830201"
"214128_at","747","DAGLA","4.74308035442547","4.56732332888015","4.69702912657998","4.68520491188737","4.69579771541974","4.75919964072197","4.75210355093396"
"214131_at","246126","TXLNGY","4.90120606215192","4.94911957331571","2.36489694881264","2.3970403640817","2.61500002720063","2.21030491177643","2.60570376044318"
"214132_at","509","ATP5F1C","4.61777924577714","4.61777924577714","4.52142201814229","5.10790272088832","5.05830773901924","4.22937677997923","4.64991564067538"
"214133_at","4588","MUC6","3.98489952555724","3.67012330777307","3.70765530810692","4.06046500509408","3.91224109717952","4.01835177983245","3.51110835401604"
"214134_at","343990","CRACDL","3.41043493614057","3.25303423856341","3.41043493614057","3.28750346921467","3.49804080060696","3.09222458520885","3.62950361454603"
"214136_at","25961","NUDT13","3.59622370949667","3.80915840285388","2.99768992031044","3.20868865849292","3.67972681799306","3.51284701392198","3.84708344894407"
"214141_x_at","6432","SRSF7","9.5642322026484","9.43579650041163","9.7862624557271","8.96604922533366","9.33254131034169","9.01764119547874","8.64931035640691"
"214142_at","653808","ZG16","4.26097743435247","4.34397364854176","4.39678886713707","4.43769707961896","4.38133240682644","4.34397364854176","3.95302215658568"
"214143_x_at","6152","RPL24","12.384048074344","12.1761396678478","12.5122955344103","12.3317204545635","12.5405805394491","12.4221626706478","12.1634158345491"
"214146_s_at","5473","PPBP","2.39823085920227","2.34858023956566","2.42194278242413","2.24381859977673","2.11760711899151","2.35392366005009","2.63333498164635"
"214147_at","374977","MROH7","3.38257932613102","3.21105436785937","3.29567349518257","3.29567349518257","3.33359205321978","3.18962463860391","3.28534563095654"
"214155_s_at","113251","LARP4","5.214338388914","5.59639993633912","5.31232491246441","5.36711726326673","5.89682102343623","5.917427439755","5.36298047880751"
"214156_at","25924","MYRIP","2.41811838893882","2.3336723302874","2.32410206617808","2.09933517823588","2.22185656568459","2.25885634695656","2.1771101590792"
"214166_at","6390","SDHB","3.29349303476721","3.20868865849292","3.0058158893404","3.20868865849292","3.48440794489386","3.01626217358631","3.54287027393957"
"214167_s_at","6175","RPLP0","11.6960298724428","11.3650938793122","11.6468945509241","11.4378393044285","11.6956371215219","11.595661099622","11.582093333044"
