row ID,row m/z,row retention time,row identity (main ID),120.mzXML Peak area,108.mzXML Peak area,114.mzXML Peak area,116.mzXML Peak area,122.mzXML Peak area,124.mzXML Peak area,138.mzXML Peak area,136.mzXML Peak area,142.mzXML Peak area,144.mzXML Peak area,146.mzXML Peak area,140.mzXML Peak area,
108,274.0912484039717,1.314426,Modafinil: 0.803,269.4357,0,557.9727,0,440.15067,479.06165,565.1286,514.5682,358.89706,470.70624,574.13947,0,
109,287.1966352865993,1.3144889,Androstenedione: 0.545,0,0,531.7613,0,572.8303,599.62115,702.08527,702.56714,681.42017,746.7906,1322.8092,507.9182,
110,143.03193178277866,1.3146611,trans-trans-Muconic acid: 0.545,386.63538,398.01044,521.0034,619.7376,682.31714,811.49945,623.449,748.528,678.79376,813.41125,630.89435,678.8874,
111,186.10613546163097,1.3146597,,6691.6514,3595.613,15802.76,4998.3115,7563.866,8645.035,12868.266,13813.41,6668.0376,8638.44,14955.294,8549.412,
112,134.0275307479429,1.3147938,Thioproline: 0.874,0,304.99332,332.91095,0,456.7432,747.5382,560.35486,0,542.38275,852.97064,0,737.2371,
113,252.07800157726717,1.3153514,,194.37717,266.6764,646.304,409.48364,283.9739,1031.6931,475.99396,499.73648,702.4078,804.16266,480.00394,708.54553,
115,246.09197906670192,1.3185833,,309.1819,0,718.48706,0,363.43018,597.05536,529.3134,539.83844,507.03754,553.659,588.84515,487.27548,
116,189.0394830761751,1.3205591,cis-2-Methylaconitate: 0.979,488.69934,525.3952,684.44,568.6579,827.35,1039.4174,666.085,640.3372,861.4354,1047.0166,0,759.9073,
117,373.19139849231834,1.3207,Biocytin: 0.911,0,0,257.2314,219.58173,0,0,0,227.12637,238.43742,207.32063,320.22888,0,
118,116.10392767792135,1.32076,N-(3-Methylbutyl)acetamide: 0.121,290.0622,0,0,0,555.4882,0,322.8604,296.05133,0,0,442.68835,0,
120,112.05201388871183,1.321218,"Bromobenzene-2,3-dihydrodiol: 0.960",866.961,1531.0353,1034.4069,1331.557,1159.4619,1852.0093,1271.6171,1847.4629,1450.2394,1952.7305,1656.8394,1821.7825,
