"Protein.IDs","Gene.names","LFQ.intensity_Day-1_Rep1","LFQ.intensity_Day-1_Rep2","LFQ.intensity_Day-1_Rep3","LFQ.intensity_Day0_Rep1","LFQ.intensity_Day0_Rep2","LFQ.intensity_Day0_Rep3","LFQ.intensity_Day1_Rep1","LFQ.intensity_Day1_Rep2","LFQ.intensity_Day1_Rep3","LFQ.intensity_Day2_Rep1","LFQ.intensity_Day2_Rep2","LFQ.intensity_Day2_Rep3","LFQ.intensity_Day3_Rep1","LFQ.intensity_Day3_Rep2","LFQ.intensity_Day3_Rep3","LFQ.intensity_Day4_Rep1","LFQ.intensity_Day4_Rep2","LFQ.intensity_Day4_Rep3"
"Q9ULQ0","STRIP2",16841000,34371000,31142000,13002000,NA,10992000,13284000,NA,NA,NA,NA,NA,15851000,11540000,NA,13590000,13427000,15860000
"Q9ULR0","ISY1",207431000,82278000,143782000,125531000,201158000,29727000,127588000,149670000,37171000,190805000,151469000,74143000,29098000,43066000,94074000,84141000,20758000,50448000
"Q9ULT8","HECTD1",1130800000,1122650000,1081930000,1083330000,1291970000,1204870000,1122140000,1127620000,1149020000,1339370000,1273790000,1172750000,1095710000,1030640000,1078560000,825370000,870500000,925780000
"Q9ULV4","CORO1C",8.251e+09,7546800000,7.338e+09,7312100000,9008500000,7742400000,7878900000,8239500000,7407300000,7100300000,7466200000,6866800000,5998600000,5318200000,5.217e+09,4588300000,4530900000,4872300000
"Q9ULW0","TPX2",307709000,349782000,336260000,317950000,266396000,307563000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9ULX3","NOB1",190044000,214961000,205274000,185844000,168954000,188075000,143673000,134401000,153752000,154567000,144179000,138875000,49676000,104746000,65409000,63503000,94196000,69427000
"Q9ULX6","AKAP8L",103821000,32260000,49483000,NA,66143000,61822000,165838000,171706000,205676000,156316000,132179000,NA,189681000,143600000,NA,180079000,218155000,172235000
"Q9ULZ3","PYCARD",241374000,354738000,447550000,428490000,319080000,389910000,407710000,361610000,408730000,304415000,293027000,361510000,232547000,285279000,349569000,189456000,215812000,177272000
"Q9UM00","TMCO1",273448000,322078000,258131000,278001000,275927000,246806000,271021000,244635000,229709000,233633000,243433000,213232000,207331000,201830000,197357000,213964000,192302000,264896000
"Q9UM22","EPDR1",60319000,120551000,NA,304234000,135485000,186010000,386980000,414490000,426790000,407620000,407310000,427600000,432450000,386170000,451550000,472900000,433800000,489210000
"Q9UM54","MYO6",626980000,611340000,655380000,741650000,761530000,712830000,1090400000,1012820000,1059030000,1122480000,1121860000,1150890000,9.82e+08,948940000,922200000,810200000,808760000,758900000
